title,price,location,year,mileage,engine,link,posted_date,featured,scraped_at,price_numeric,year_numeric,mileage_numeric
Suzuki Cultus  2006 VXL for Sale,PKR 7.25lacs,2006,2006,"100,000 km",1000 cc,https://www.pakwheels.com/used-cars/suzuki-cultus-2006-for-sale-in-karachi-10853280,N/A,No,2025-11-21 17:03:34,,2006,100000
Changan Alsvin  2022 1.5L DCT Lumiere for Sale,PKR 34.95lacs,2022,2022,"45,650 km",1500 cc,https://www.pakwheels.com/used-cars/changan-alsvin-2022-for-sale-in-karachi-10853266,N/A,No,2025-11-21 17:03:34,,2022,45650
Toyota Corolla  2018 GLi Automatic 1.3 VVTi for Sale,PKR 41.5lacs,2018,2018,"52,000 km",1300 cc,https://www.pakwheels.com/used-cars/toyota-corolla-2018-for-sale-in-karachi-10776219,N/A,No,2025-11-21 17:03:34,,2018,52000
Toyota Vitz  2017 F 1.0 for Sale,PKR 35.75lacs,2017,2017,"50,000 km",996 cc,https://www.pakwheels.com/used-cars/toyota-vitz-2017-for-sale-in-karachi-10853243,N/A,No,2025-11-21 17:03:34,,2017,50000
Suzuki Alto  2011 VXR for Sale,PKR 12.5lacs,2011,2011,"109,000 km",1000 cc,https://www.pakwheels.com/used-cars/suzuki-alto-2011-for-sale-in-karachi-10853217,N/A,No,2025-11-21 17:03:34,,2011,109000
Proton X70  2022 Premium FWD for Sale,PKR 70lacs,2022,2022,"50,000 km",1500 cc,https://www.pakwheels.com/used-cars/proton-x70-2022-for-sale-in-karachi-10853208,N/A,No,2025-11-21 17:03:34,,2022,50000
Changan Oshan X7  2024 Comfort for Sale,PKR 76lacs,2024,2024,"27,000 km",1500 cc,https://www.pakwheels.com/used-cars/changan-oshan-x7-2024-for-sale-in-karachi-10853196,N/A,No,2025-11-21 17:03:34,,2024,27000
Toyota Vitz  2009 F 1.0 for Sale4.5/10,PKR 20.8lacs,2009,2009,"166,538 km",1000 cc,https://www.pakwheels.com/used-cars/toyota-vitz-2009-for-sale-in-karachi-10674803,N/A,Yes,2025-11-21 17:03:34,,2009,166538
Honda Life  2007 Comfort Special for Sale,PKR 13.5lacs,2007,2007,500 km,660 cc,https://www.pakwheels.com/used-cars/honda-life-2007-for-sale-in-karachi-10741858,N/A,No,2025-11-21 17:03:34,,2007,500
Daihatsu Mira  2021 G SA III for Sale10/10,PKR 41.5lacs,2021,2021,"15,242 km",660 cc,https://www.pakwheels.com/used-cars/daihatsu-mira-2021-for-sale-in-karachi-10806040,N/A,Yes,2025-11-21 17:03:34,,2021,15242
